# WRITE_FORCE NAME ../data/ch4200_F_BFM/force INTERVAL 100 BFZONE y0,y1; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
      3000100      402.803      157.914            0  4.02167e-12            0            0            0            0            0   0.00170381            0     0.194708 -5.15392e-06 -7.63489e-06            0            0            0     0.194708   0.00169866 -7.63489e-06
      3000200      402.816      157.914            0  4.02167e-12            0            0            0            0            0  0.000528223            0     0.194706 -4.46152e-06 -9.08806e-06            0            0            0     0.194706  0.000523762 -9.08806e-06
      3000300       402.83      157.914            0  4.02167e-12            0            0            0            0            0  -0.00152651            0     0.194701 -4.17714e-06 -9.99084e-06            0            0            0     0.194701  -0.00153068 -9.99084e-06
      3000400      402.843      157.914            0  4.02167e-12            0            0            0            0            0   -0.0014015            0     0.194698  -4.0939e-06 -1.13788e-05            0            0            0     0.194698  -0.00140559 -1.13788e-05
      3000500      402.857      157.914            0  4.02167e-12            0            0            0            0            0   0.00118354            0     0.194703 -4.03982e-06 -1.30742e-05            0            0            0     0.194703    0.0011795 -1.30742e-05
      3000600       402.87      157.914            0  4.02167e-12            0            0            0            0            0  -0.00211003            0     0.194704 -4.35231e-06 -1.42801e-05            0            0            0     0.194704  -0.00211438 -1.42801e-05
      3000700      402.883      157.914            0  4.02167e-12            0            0            0            0            0 -1.09167e-05            0     0.194701 -4.21353e-06 -1.54626e-05            0            0            0     0.194701 -1.51303e-05 -1.54626e-05
      3000800      402.897      157.914            0  4.02167e-12            0            0            0            0            0   0.00182256            0     0.194697 -4.07969e-06 -1.70268e-05            0            0            0     0.194697   0.00181848 -1.70268e-05
      3000900       402.91      157.914            0  4.02167e-12            0            0            0            0            0  -0.00114006            0     0.194694 -4.00294e-06 -1.84165e-05            0            0            0     0.194694  -0.00114406 -1.84165e-05
      3001000      402.924      157.914            0  4.02167e-12            0            0            0            0            0   0.00248083            0     0.194696 -3.96973e-06 -1.98213e-05            0            0            0     0.194696   0.00247687 -1.98213e-05
      3001100      402.937      157.914            0  4.02167e-12            0            0            0            0            0 -0.000350656            0     0.194696 -3.88267e-06 -2.06415e-05            0            0            0     0.194696 -0.000354539 -2.06415e-05
