# WRITE_FORCE NAME ../data/ch4200_F_BFMSGS_BFMWM/force INTERVAL 100 BFZONE y0,y1; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
      3000100      402.803      157.914            0  4.02167e-12            0            0            0            0            0     -59.5631            0     -497.118      -4.2592    -0.526461            0            0            0     -497.118     -63.8223    -0.526461
      3000200      402.816      157.914            0  4.02167e-12            0            0            0            0            0     -90.7404            0     -420.248    -0.797388       15.529            0            0            0     -420.248     -91.5378       15.529
      3000100      402.803      157.914            0  4.02167e-12            0            0            0            0            0   0.00261461            0      0.19492  -5.1008e-06 -7.78758e-06            0            0            0      0.19492   0.00260951 -7.78758e-06
      3000200      402.816      157.914            0  4.02167e-12            0            0            0            0            0 -0.000630438            0     0.195127 -4.31045e-06 -9.41392e-06            0            0            0     0.195127 -0.000634749 -9.41392e-06
      3000300       402.83      157.914            0  4.02167e-12            0            0            0            0            0  -0.00184183            0     0.195326 -3.94063e-06 -1.05727e-05            0            0            0     0.195326  -0.00184577 -1.05727e-05
      3000400      402.843      157.914            0  4.02167e-12            0            0            0            0            0  -0.00114056            0     0.195525 -3.73732e-06 -1.21227e-05            0            0            0     0.195525  -0.00114429 -1.21227e-05
      3000500      402.857      157.914            0  4.02167e-12            0            0            0            0            0   -0.0029687            0     0.195727 -3.58469e-06 -1.39528e-05            0            0            0     0.195727  -0.00297228 -1.39528e-05
      3000600       402.87      157.914            0  4.02167e-12            0            0            0            0            0    0.0012686            0     0.195922 -3.83161e-06 -1.52774e-05            0            0            0     0.195922   0.00126476 -1.52774e-05
      3000700      402.883      157.914            0  4.02167e-12            0            0            0            0            0    0.0010309            0     0.196113 -3.65239e-06  -1.6633e-05            0            0            0     0.196113   0.00102724  -1.6633e-05
      3000800      402.897      157.914            0  4.02167e-12            0            0            0            0            0 -0.000251026            0     0.196298 -3.46696e-06  -1.8408e-05            0            0            0     0.196298 -0.000254493  -1.8408e-05
      3000900       402.91      157.914            0  4.02167e-12            0            0            0            0            0  0.000957678            0     0.196485 -3.35531e-06 -2.00497e-05            0            0            0     0.196485  0.000954323 -2.00497e-05
      3001000      402.924      157.914            0  4.02167e-12            0            0            0            0            0  0.000489589            0      0.19667 -3.20995e-06 -2.14886e-05            0            0            0      0.19667  0.000486379 -2.14886e-05
      3001100      402.937      157.914            0  4.02167e-12            0            0            0            0            0   0.00115502            0     0.196849 -3.24158e-06 -2.24001e-05            0            0            0     0.196849   0.00115178 -2.24001e-05
      3001200       402.95      157.914            0  4.02167e-12            0            0            0            0            0  -0.00192424            0      0.19702 -3.24327e-06 -2.31298e-05            0            0            0      0.19702  -0.00192749 -2.31298e-05
      3001300      402.964      157.914            0  4.02167e-12            0            0            0            0            0   0.00159536            0     0.197191 -3.26796e-06 -2.42812e-05            0            0            0     0.197191   0.00159209 -2.42812e-05
      3001400      402.977      157.914            0  4.02167e-12            0            0            0            0            0   0.00233137            0     0.197367  -3.2299e-06 -2.58432e-05            0            0            0     0.197367   0.00232814 -2.58432e-05
      3001500      402.991      157.914            0  4.02167e-12            0            0            0            0            0  -0.00221996            0     0.197538 -2.97765e-06 -2.72937e-05            0            0            0     0.197538  -0.00222294 -2.72937e-05
      3001600      403.004      157.914            0  4.02167e-12            0            0            0            0            0   0.00122528            0     0.197702 -3.01454e-06 -2.82481e-05            0            0            0     0.197702   0.00122227 -2.82481e-05
      3001700      403.018      157.914            0  4.02167e-12            0            0            0            0            0   0.00229156            0     0.197859 -3.18167e-06  -2.9665e-05            0            0            0     0.197859   0.00228838  -2.9665e-05
      3001800      403.031      157.914            0  4.02167e-12            0            0            0            0            0   -0.0027457            0     0.198017 -3.39576e-06  -3.0922e-05            0            0            0     0.198017  -0.00274909  -3.0922e-05
      3001900      403.044      157.914            0  4.02167e-12            0            0            0            0            0 -0.000243924            0     0.198172 -3.67448e-06 -3.26113e-05            0            0            0     0.198172 -0.000247599 -3.26113e-05
