# WRITE_FORCE NAME ../data/ch4200_F_eqwm/force INTERVAL 100 BFZONE y0,y1; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
      3000100      402.803      157.914            0  4.02167e-12            0            0            0            0            0   0.00137878            0     0.217925  8.38564e-06 -5.09414e-05            0            0            0     0.217925   0.00138717 -5.09414e-05
      3000200      402.816      157.914            0  4.02167e-12            0            0            0            0            0  0.000422358            0      0.21792  8.50394e-06 -5.20471e-05            0            0            0      0.21792  0.000430862 -5.20471e-05
      3000300       402.83      157.914            0  4.02167e-12            0            0            0            0            0  0.000323468            0     0.217916   8.6169e-06 -5.31467e-05            0            0            0     0.217916  0.000332085 -5.31467e-05
      3000400      402.843      157.914            0  4.02167e-12            0            0            0            0            0   0.00195707            0     0.217911  8.67984e-06 -5.42351e-05            0            0            0     0.217911   0.00196575 -5.42351e-05
      3000500      402.857      157.914            0  4.02167e-12            0            0            0            0            0   0.00124435            0     0.217906  8.78654e-06 -5.53118e-05            0            0            0     0.217906   0.00125313 -5.53118e-05
      3000600       402.87      157.914            0  4.02167e-12            0            0            0            0            0  0.000810912            0     0.217901  8.81365e-06  -5.6371e-05            0            0            0     0.217901  0.000819726  -5.6371e-05
      3000700      402.883      157.914            0  4.02167e-12            0            0            0            0            0   0.00231769            0     0.217897  8.90265e-06 -5.74135e-05            0            0            0     0.217897    0.0023266 -5.74135e-05
      3000800      402.897      157.914            0  4.02167e-12            0            0            0            0            0  0.000571256            0     0.217892  8.96268e-06 -5.84354e-05            0            0            0     0.217892  0.000580219 -5.84354e-05
      3000900       402.91      157.914            0  4.02167e-12            0            0            0            0            0   0.00105203            0     0.217887  9.01171e-06 -5.94343e-05            0            0            0     0.217887   0.00106104 -5.94343e-05
      3001000      402.924      157.914            0  4.02167e-12            0            0            0            0            0 -4.84029e-05            0     0.217881  9.03983e-06  -6.0417e-05            0            0            0     0.217881 -3.93631e-05  -6.0417e-05
      3001100      402.937      157.914            0  4.02167e-12            0            0            0            0            0  0.000544579            0     0.217876  9.08063e-06 -6.13795e-05            0            0            0     0.217876   0.00055366 -6.13795e-05
      3001200       402.95      157.914            0  4.02167e-12            0            0            0            0            0   0.00468333            0      0.21787  9.13675e-06 -6.23306e-05            0            0            0      0.21787   0.00469246 -6.23306e-05
      3001300      402.964      157.914            0  4.02167e-12            0            0            0            0            0  0.000384354            0     0.217864  9.14939e-06 -6.32677e-05            0            0            0     0.217864  0.000393504 -6.32677e-05
